ID,Feedground,Capture Date,Start Interval,Stop Interval,Event Type,Brucella,Data Quality
371,Soda,2/11/2007,2/11/2007,5/23/2007,Birth,NEG,5
372,Soda,2/11/2007,5/31/2007,6/3/2007,Birth,NEG,2
373,Soda,2/22/2007,,,Unknown,NEG,7
374,Soda,2/11/2007,,,Unknown,NEG,7
375,Soda,2/4/2007,,,Unknown,NEG,7
376,Bench,2/5/2007,,,Unknown,NEG,7
377,Bench,2/5/2007,,,Unknown,NEG,7
378,Bench,2/5/2007,,,Unknown,NEG,7
379,Bench,2/9/2007,2/9/2007,4/30/2007,Abortion,POS,2
380,Bench,2/9/2007,,,Unknown,NEG,7
381,Franz,3/11/2009,5/30/2009,6/7/2009,Birth,POS,2
382,Dell,1/15/2011,6/10/2011,6/11/2011,Birth,NEG,1
383,Dell,1/15/2011,6/4/2011,6/10/2011,Birth,POS,2
384,Dell,1/15/2011,5/19/2011,5/20/2011,Birth,POS,1
385,Dell,1/15/2011,1/15/2011,5/27/2011,Birth,POS,5
386,Dell,1/15/2011,6/21/2011,6/28/2011,Birth,NEG,2
387,Dell,1/21/2011,5/17/2011,5/18/2011,Birth,POS,1
388,Dell,1/21/2011,4/21/2011,4/22/2011,Abortion,POS,1
389,Dell,1/21/2011,5/27/2011,5/31/2011,Birth,POS,2
390,Dell,2/7/2012,5/4/2012,5/5/2012,Abortion,POS,1
390,Dell,1/21/2011,4/6/2011,4/7/2011,Abortion,POS,1
391,Dell,1/21/2011,1/21/2011,4/18/2011,Abortion,NEG,4
392,Dell,1/21/2011,5/1/2011,5/2/2011,Abortion,POS,1
393,McNeel,1/30/2011,3/22/2011,3/26/2011,Abortion,POS,2
394,McNeel,1/30/2011,5/20/2011,5/21/2011,Birth,POS,1
395,McNeel,1/30/2011,5/3/2011,5/4/2011,Birth,POS,1
396,McNeel,1/30/2011,6/20/2011,6/21/2011,Birth,NEG,1
397,Greys,2/3/2011,5/31/2011,6/1/2011,Birth,POS,1
398,Greys,2/3/2011,5/24/2011,5/25/2011,Abortion,NEG,1
399,Greys,2/3/2011,5/27/2011,6/9/2011,Birth,POS,2
400,Greys,2/3/2011,6/5/2011,6/6/2011,Birth,POS,1
401,Greys,2/3/2011,7/15/2011,7/16/2011,Birth,POS,1
402,Forest,2/5/2011,6/3/2011,6/4/2011,Birth,NEG,1
403,Forest,2/5/2011,5/29/2011,5/30/2011,Birth,POS,1
404,Forest,2/5/2011,5/26/2011,5/27/2011,Birth,NEG,1
405,Forest,2/5/2011,6/21/2011,6/23/2011,Birth,NEG,2
406,Forest,2/5/2011,3/30/2011,3/31/2011,Abortion,POS,1
407,Muddy,2/7/2011,5/24/2011,5/25/2011,Birth,POS,1
408,Muddy,2/7/2011,6/2/2011,6/3/2011,Birth,NEG,1
409,Muddy,2/7/2011,5/24/2011,5/25/2011,Birth,NEG,1
410,Muddy,2/7/2011,5/27/2011,6/4/2011,Birth,NEG,2
461,HA99,1/29/2011,6/4/2011,6/10/2011,Birth,NEG,2
463,HA99,1/29/2011,6/4/2011,6/10/2011,Birth,NEG,2
480,HA99,1/29/2011,6/20/2011,6/21/2011,Birth,NEG,2
486,Fall,2/9/2011,5/27/2011,6/9/2011,Birth,NEG,1
492,Fall,2/9/2011,5/27/2011,6/7/2011,Birth,NEG,2
493,Fall,2/9/2011,6/10/2011,6/14/2011,Birth,NEG,2
506,Fall,2/9/2011,5/27/2011,6/10/2011,Birth,NEG,2
512,Alkali,2/14/2012,2/25/2012,,Died,POS,7
512,Patrol,2/14/2011,5/28/2011,6/10/2011,Birth,NEG,2
513,Patrol,2/14/2011,5/28/2011,6/10/2011,Birth,NEG,2
514,Patrol,2/14/2011,5/28/2011,6/10/2011,Birth,NEG,2
515,Patrol,2/14/2011,5/28/2011,6/10/2011,Birth,NEG,2
516,Horse,2/16/2011,,,Open,POS,7
517,Horse,2/16/2011,5/27/2011,5/28/2011,Abortion,POS,6
518,Horse,2/16/2011,,,Unknown,POS,7
519,Horse,2/16/2011,5/24/2011,5/25/2011,Birth,NEG,1
520,Fall,2/19/2011,6/7/2011,6/8/2011,Birth,NEG,1
521,Jewett,2/24/2011,5/25/2011,5/26/2011,Birth,NEG,1
522,UG,2/25/2011,6/4/2011,6/10/2011,Birth,NEG,2
523,UG,2/25/2011,6/11/2011,6/28/2011,Birth,NEG,2
524,UG,2/25/2011,6/4/2011,6/10/2011,Birth,NEG,2
525,Jewett,3/3/2011,6/4/2011,6/20/2011,Birth,NEG,2
526,Franz,3/12/2011,6/4/2011,6/6/2011,Birth,POS,2
527,Franz,3/12/2011,3/13/2011,3/14/2011,Abortion,POS,2
530,McNeel,3/13/2011,3/27/2011,,Died,POS,7
531,McNeel,3/13/2011,6/5/2011,6/6/2011,Birth,NEG,1
532,McNeel,3/13/2011,5/26/2011,5/27/2011,Birth,POS,1
534,HA99,3/15/2011,5/22/2011,5/27/2011,Birth,NEG,2
535,HA99,3/16/2011,5/27/2011,6/10/2011,Birth,NEG,2
536,HA99,3/16/2011,6/7/2011,6/8/2011,Birth,NEG,1
537,HA99,3/16/2011,6/28/2011,7/12/2011,Birth,NEG,2
